Vardas Pavardė,Padalinys,Skyrius,Pareigos,ID
Vardenis Pavardenis,Elektroninio saugumo valdyba,E3 skyrius,Specialistas,VP-12345
Jonas Jonaitis,Finansų departamentas,Apskaitos skyrius,Buhalteris,JJ-67890
Petras Petraitis,Žmogiškųjų išteklių skyrius,Personalo atranka,Personalo vadybininkas,PP-23456
Ona Onaitytė,Rinkodaros skyrius,Skaitmeninė rinkodara,Rinkodaros specialistas,OO-78901
Aldona Aldonaitytė,Teisės departamentas,Sutarčių skyrius,Teisininkas,AA-34567
Kazys Kazlauskas,IT departamentas,Tinklų priežiūra,IT specialistas,KK-89012
Eglė Eglinytė,Gamybos padalinys,Kokybės kontrolė,Kokybės vadybininkas,EE-45678
Mindaugas Mindaugaitis,Logistikos departamentas,Sandėlio valdymas,Logistikos koordinatorius,MM-90123
Ieva Ievaitytė,Klientų aptarnavimo skyrius,Pagalbos centras,Klientų aptarnavimo specialistas,II-56789
Tomas Tomaitis,Projektų valdymo skyrius,IT projektai,Projektų vadovas,TT-01234
