Dokumento pavadinimas,Autorius,Numeris,Data,Statusas,Patvirtinimo data
Tarnnybinis pranešimas dėl bepiločių orlaivių detekcijos įrangos įsigijimo,Vardenis Pavardenis,TP-999,2022-09-01,Patvirtintas,2022-09-08
Apsaugos kamerų sistemos įsigijimo sutartis,Jonas Jonaitis,S-67891,2022-10-15,Patvirtintas,2022-10-22
Serverio atnaujinimo techninis planas,Petras Petraitis,TP-67892,2023-01-20,Vykdomas,2023-01-27
Biuro baldų užsakymo patvirtinimas,Ona Onaitytė,U-67893,2023-03-05,Patvirtintas,2023-03-12
Programinės įrangos licencijų pirkimo aktas,Aldona Aldonaitytė,A-67894,2023-05-10,Patvirtintas,2023-05-17
Kopijavimo aparato priežiūros sutartis,Kazys Kazlauskas,S-67895,2023-07-22,Vykdomas,2023-07-29
Oro kondicionavimo sistemos montavimo grafikas,Eglė Eglinytė,G-67896,2023-09-01,Patvirtintas,2023-09-08
Kompiuterių tinklo įrangos sąrašas,Mindaugas Mindaugaitis,S-67897,2023-11-12,Vykdomas,2023-11-19
Darbuotojų mokymų programos aprašas,Ieva Ievaitytė,P-67898,2024-01-18,Patvirtintas,2024-01-25
Vaizdo konferencijų įrangos diegimo instrukcijos,Tomas Tomaitis,I-67899,2024-03-25,Patvirtintas,2024-04-01
